Date,prices
2020-06-04,34.0
2020-06-05,38.89
2020-06-08,44.69
2020-06-09,50.0
2020-06-10,50.3
2020-06-11,49.5
2020-06-12,51.22
2020-06-15,49.97
2020-06-16,48.39
2020-06-17,43.51
2020-06-18,45.75
2020-06-19,45.37
2020-06-22,49.41
2020-06-23,49.68
2020-06-24,50.98
2020-06-25,53.19
2020-06-26,51.57
2020-06-29,50.72
2020-06-30,51.03
2020-07-01,48.4
2020-07-02,45.05
2020-07-06,45.99
2020-07-07,45.14
2020-07-08,44.26
2020-07-09,44.69
2020-07-10,43.71
2020-07-13,40.33
2020-07-14,39.99
2020-07-15,39.85
2020-07-16,40.38
2020-07-17,41.16
2020-07-20,42.48
2020-07-21,42.9
2020-07-22,41.66
2020-07-23,40.86
2020-07-24,39.59
2020-07-27,41.16
2020-07-28,41.56
2020-07-29,40.53
2020-07-30,40.48
2020-07-31,40.87
2020-08-03,45.08
2020-08-04,44.15
2020-08-05,46.37
2020-08-06,47.44
2020-08-07,46.1
2020-08-10,43.2
2020-08-11,39.01
2020-08-12,38.53
2020-08-13,39.71
2020-08-14,38.88
2020-08-17,39.6
2020-08-18,38.11
2020-08-19,37.92
2020-08-20,38.03
2020-08-21,36.83
2020-08-24,37.04
2020-08-25,36.8
2020-08-26,38.05
2020-08-27,37.03
2020-08-28,37.21
2020-08-31,38.82
2020-09-01,38.42
2020-09-02,38.11
2020-09-03,33.91
2020-09-04,32.61
2020-09-08,32.58
2020-09-09,32.99
2020-09-10,32.66
2020-09-11,31.99
2020-09-14,32.99
2020-09-15,32.61
2020-09-16,31.11
2020-09-17,32.26
2020-09-18,32.34
2020-09-21,32.88
2020-09-22,34.42
2020-09-23,35.6
2020-09-24,34.73
2020-09-25,39.21
2020-09-28,38.84
2020-09-29,41.6
2020-09-30,42.99
2020-10-01,43.33
2020-10-02,42.06
2020-10-05,43.99
2020-10-06,43.7
2020-10-07,45.21
2020-10-08,43.28
2020-10-09,42.28
2020-10-12,41.53
2020-10-13,42.76
2020-10-14,41.86
2020-10-15,42.77
2020-10-16,42.63
2020-10-19,44.16
2020-10-20,44.21
2020-10-21,46.3
2020-10-22,42.75
2020-10-23,43.17
2020-10-26,41.29
2020-10-27,43.06
2020-10-28,40.53
2020-10-29,40.28
2020-10-30,37.99
2020-11-02,36.95
2020-11-03,37.62
2020-11-04,38.92
2020-11-05,41.11
2020-11-06,41.67
2020-11-09,37.33
2020-11-10,40.1
2020-11-11,41.16
2020-11-12,43.08
2020-11-13,42.24
2020-11-16,41.61
2020-11-17,40.75
2020-11-18,39.59
2020-11-19,42.68
2020-11-20,43.59
2020-11-23,44.65
2020-11-24,46.75
2020-11-25,47.1
2020-11-27,48.78
2020-11-30,51.25
2020-12-01,47.93
2020-12-02,43.01
2020-12-03,45.56
2020-12-04,46.11
2020-12-07,43.8
2020-12-08,41.78
2020-12-09,40.4
2020-12-10,40.91
2020-12-11,41.76
2020-12-14,42.14
2020-12-15,41.25
2020-12-16,40.81
2020-12-17,43.4
2020-12-18,42.85
2020-12-21,44.2
2020-12-22,46.51
2020-12-23,47.29
2020-12-24,44.84
2020-12-28,45.27
2020-12-29,45.64
2020-12-30,47.03
2020-12-31,48.23
2021-01-04,45.58
2021-01-05,45.17
2021-01-06,42.43
2021-01-07,44.0
2021-01-08,45.57
2021-01-11,44.01
2021-01-12,44.01
2021-01-13,45.02
2021-01-14,45.42
2021-01-15,45.34
2021-01-19,46.6
2021-01-20,47.0
2021-01-21,46.25
2021-01-22,46.27
2021-01-25,46.44
2021-01-26,49.25
2021-01-27,49.96
2021-01-28,48.5
2021-01-29,48.01
2021-02-01,50.22
2021-02-02,51.09
2021-02-03,54.58
2021-02-04,56.31
2021-02-05,58.08
2021-02-08,57.41
2021-02-09,56.37
2021-02-10,55.72
2021-02-11,57.0
2021-02-12,57.84
2021-02-16,55.77
2021-02-17,53.95
2021-02-18,55.32
2021-02-19,54.74
2021-02-22,51.32
2021-02-23,53.43
2021-02-24,56.53
2021-02-25,53.25
2021-02-26,52.42
2021-03-01,56.38
2021-03-02,56.11
2021-03-03,47.79
2021-03-04,45.71
2021-03-05,45.99
2021-03-08,43.72
2021-03-09,47.21
2021-03-10,46.88
2021-03-11,48.73
2021-03-12,48.34
2021-03-15,47.77
2021-03-16,48.34
2021-03-17,48.53
2021-03-18,47.2
2021-03-19,48.84
2021-03-22,54.69
2021-03-23,56.33
2021-03-24,54.4
2021-03-25,54.48
2021-03-26,52.9
2021-03-29,49.69
2021-03-30,49.0
2021-03-31,48.9
2021-04-01,48.17
2021-04-05,47.56
2021-04-06,48.0
2021-04-07,48.09
2021-04-08,48.03
2021-04-09,47.27
2021-04-12,47.4
2021-04-13,49.04
2021-04-14,48.16
2021-04-15,47.57
2021-04-16,47.91
2021-04-19,47.38
2021-04-20,45.63
2021-04-21,49.1
2021-04-22,49.59
2021-04-23,51.33
2021-04-26,53.04
2021-04-27,52.21
2021-04-28,52.56
2021-04-29,52.06
2021-04-30,51.86
2021-05-03,49.91
2021-05-04,48.42
2021-05-05,46.5
2021-05-06,45.57
2021-05-07,42.98
2021-05-10,42.48
2021-05-11,43.295
2021-05-12,42.04
2021-05-13,39.71
2021-05-14,40.2
2021-05-17,39.99
2021-05-18,40.62
2021-05-19,41.35
2021-05-20,43.2
2021-05-21,42.36
2021-05-24,42.86
2021-05-25,42.12
2021-05-26,42.99
2021-05-27,44.25
2021-05-28,43.83
2021-06-01,42.76
2021-06-02,43.49
2021-06-03,41.82
2021-06-04,44.2
2021-06-07,44.77
2021-06-08,44.74
2021-06-09,44.88
2021-06-10,46.37
2021-06-11,46.44
2021-06-14,46.35
2021-06-15,45.0
2021-06-16,49.01
2021-06-17,50.6
2021-06-18,51.39
2021-06-21,51.98
2021-06-22,51.83
2021-06-23,52.71
2021-06-24,53.14
2021-06-25,53.85
2021-06-28,53.38
2021-06-29,53.43
2021-06-30,52.17
2021-07-01,51.41
2021-07-02,51.9
2021-07-06,52.61
2021-07-07,51.58
2021-07-08,51.86
2021-07-09,52.68
2021-07-12,53.03
2021-07-13,52.93
2021-07-14,50.66
2021-07-15,49.75
2021-07-16,49.75
2021-07-19,50.36
2021-07-20,52.5
2021-07-21,52.34
2021-07-22,53.43
2021-07-23,53.84
2021-07-26,54.38
2021-07-27,53.65
2021-07-28,54.12
2021-07-29,54.255
2021-07-30,53.75
2021-08-02,54.78
2021-08-03,56.5
2021-08-04,60.6
2021-08-05,66.58
2021-08-06,64.54
2021-08-09,61.34
2021-08-10,59.54
2021-08-11,61.49
2021-08-12,62.22
2021-08-13,62.49
2021-08-16,58.88
2021-08-17,59.91
2021-08-18,59.9
2021-08-19,60.67
2021-08-20,61.08
2021-08-23,62.64
2021-08-24,61.17
2021-08-25,62.5
2021-08-26,61.7
2021-08-27,63.19
2021-08-30,64.21
2021-08-31,65.19
2021-09-01,64.96
2021-09-02,65.63
2021-09-03,66.33
2021-09-07,66.66
2021-09-08,63.45
2021-09-09,64.15
2021-09-10,63.16
2021-09-13,64.59
2021-09-14,67.01
